city_name,country_code,latitude,longitude
doshi,af,35.60918,68.68473
dowlatyar,af,34.55132,65.79302
dowlat_shah,af,34.95040,70.07102
dowlatabad,af,36.98821,66.82069
dowlatabad,af,36.43259,64.92071
du_qal_ah,af,32.14237,61.44690
duab,af,35.56277,67.82191
de_narkhel_kelay,af,32.43205,65.63484
dehi,af,35.95806,67.27998
deh_e_salah,af,35.69031,69.31511
deh_e_now,af,34.74767,69.04784
dehdadi,af,36.66319,66.99339
dwah_manday,af,33.28159,69.58531
dasht_e_qal_ah,af,37.15390,69.44350
dasht_e_qal_ah,af,33.02978,63.83950
dasht_e_archi,af,37.13333,69.16667
darzab,af,35.97744,65.37828
markaz_e_hukumat_e_darweshan,af,31.13231,64.19340
darqad,af,37.38414,69.45294
darayim,af,36.86667,70.38333
dangam,af,34.99249,71.41935
dandar,af,34.79095,69.47504
hukumati_dahanah_ye_ghori,af,35.90617,68.48869
tsowkey,af,34.69246,70.92688
chiras,af,35.41674,65.98234
chisht_e_sharif,af,34.34731,63.73966
chinar,af,32.01583,65.10721
chimtal,af,36.67818,66.80325
charkh,af,33.79712,68.93749
charikar,af,35.01361,69.17139
dowr_e_rabat,af,36.69132,68.79093
tsaperai,af,33.83003,69.91920
tsamkani,af,33.80298,69.81671
chakaray,af,34.34099,69.43770
chakaran,af,36.91112,71.06880
chahar_qal_ah,af,33.55267,68.29828
chahar_burj,af,34.24475,62.19165
chah_ab,af,37.39773,69.81464
fayroz_koh,af,34.51952,65.25093
bulolah,af,34.87706,68.08790
bal_chiragh,af,35.84026,65.23090
bazar_e_talah,af,35.39205,68.22317
basawul,af,34.24749,70.87218
burkah,af,36.22242,69.15037
barg_e_matal,af,35.67283,71.34339
baraki_barak,af,33.96744,68.94920
banu,af,35.63348,69.26019
bamyan,af,34.82156,67.82734
balkh,af,36.75635,66.89720
baharak,af,37.00254,70.90664
bagrami,af,34.49376,69.27427
baghlan,af,36.13068,68.70829
hukumati_azrah,af,34.17355,69.64573
art_khwajah,af,37.08571,69.47958
alaqahdari_atghar,af,31.73506,67.35740
asmar,af,35.03333,71.35809
ashkasham,af,36.68333,71.53333
asadabad,af,34.87311,71.14697
aqchah,af,36.90500,66.18341
andkhoy,af,36.95293,65.12376
unabah,af,35.23251,69.37719
anar_darah,af,32.75870,61.65397
amanzi,af,30.21144,66.04765
alaqahdari_ye_almar,af,35.84616,64.53074
ali_sher_alaqahdari,af,33.43620,70.06711
wuluswali_alingar,af,34.83529,70.35930
ali_khel,af,33.94253,69.71908
alaqahdari_yosuf_khel,af,33.05195,68.65000
alaqahdari_dishu,af,30.43206,63.29802
alah_say,af,34.89650,69.72049
pachir_wa_agam,af,34.20011,70.27806
afaki,af,36.66172,69.35095
adraskan,af,33.64573,62.26959
ab_e_kamari,af,35.08796,63.06780
khadir,af,33.92232,65.93398
ghulam_ali,af,34.95076,69.22870
qarah_bagh_bazar,af,34.85290,69.17062
zargaran,af,34.78764,69.05878
surkh_bilandi,af,34.68474,69.02863
pul_e_sangi,af,34.59972,69.25993
langar,af,35.99474,68.05081
bagh_e_maidan,af,35.22156,69.21397
ibrahim_khan,af,35.05352,69.25654
qaranghu_toghai,af,37.21528,67.63972
bazarak,af,35.31292,69.51519
